320	x=109&y=109	全局阶段：固定 6453 条边，起点候选 16 / 8028 (0.2%)
340	x=117&y=115	全局阶段：固定 7642 条边，起点候选 83 / 9023 (0.9%)
360	x=123&y=122	全局阶段：固定 8615 条边，起点候选 16 / 10137 (0.2%)
380	x=129&y=129	全局阶段：固定 9022 条边，起点候选 411 / 11376 (3.6%)
400	x=137&y=135	全局阶段：固定 9941 条边，起点候选 84 / 12451 (0.7%)
420	x=143&y=142	全局阶段：固定 11261 条边，起点候选 130 / 13642 (1.0%)
440	x=149&y=149	全局阶段：固定 11903 条边，起点候选 43 / 15135 (0.3%)
460	x=157&y=155	全局阶段：固定 13643 条边，起点候选 43 / 16398 (0.3%)
480	x=163&y=162	全局阶段：固定 15764 条边，起点候选 87 / 17444 (0.5%)
500	x=169&y=169	全局阶段：固定 16193 条边，起点候选 114 / 18912 (0.6%)
520	x=177&y=175	全局阶段：固定 17823 条边，起点候选 48 / 20487 (0.2%)
540	x=183&y=182	全局阶段：固定 18562 条边，起点候选 44 / 22153 (0.2%)
560	x=189&y=189	全局阶段：固定 20748 条边，起点候选 22 / 23578 (0.1%)
580	x=197&y=195	全局阶段：固定 0 条边，起点候选 25356 / 25356 (100.0%)
600	x=203&y=202	全局阶段：固定 23039 条边，起点候选 88 / 27246 (0.3%)
620	x=209&y=209	全局阶段：固定 24690 条边，起点候选 78 / 29345 (0.3%)
640	x=217&y=215	全局阶段：固定 26156 条边，起点候选 130 / 31177 (0.4%)
660	x=223&y=222	全局阶段：固定 28519 条边，起点候选 64 / 32984 (0.2%)
680	x=229&y=229	全局阶段：固定 29841 条边，起点候选 21 / 34859 (0.1%)
700	x=237&y=235	全局阶段：固定 31372 条边，起点候选 119 / 37045 (0.3%)
720	x=243&y=242	全局阶段：固定 32561 条边，起点候选 206 / 39147 (0.5%)
740	x=249&y=249	全局阶段：固定 35527 条边，起点候选 48 / 41203 (0.1%)
760	x=257&y=255	全局阶段：固定 36738 条边，起点候选 75 / 43423 (0.2%)
780	x=263&y=262	全局阶段：固定 38318 条边，起点候选 105 / 46016 (0.2%)
800	x=269&y=269	全局阶段：固定 41544 条边，起点候选 117 / 48185 (0.2%)
805	x=272&y=270	全局阶段：固定 41330 条边，起点候选 10 / 49122 (0.0%)
807	x=272&y=271	全局阶段：固定 40728 条边，起点候选 42 / 49798 (0.1%)
809	x=272&y=272	全局阶段：固定 41808 条边，起点候选 66 / 49454 (0.1%)
811	x=274&y=272	全局阶段：固定 41673 条边，起点候选 44 / 50113 (0.1%)
813	x=274&y=273	全局阶段：固定 42250 条边，起点候选 208 / 49845 (0.4%)
560	全局阶段：固定 20748 条边，起点候选 22 / 23578 (0.1%)
562	全局阶段：固定 20063 条边，起点候选 21 / 23898 (0.1%)
564	全局阶段：固定 20192 条边，起点候选 99 / 24325 (0.4%)
566	全局阶段：固定 20781 条边，起点候选 18 / 24289 (0.1%)
568	全局阶段：固定 21238 条边，起点候选 69 / 24609 (0.3%)
570	全局阶段：固定 0 条边，起点候选 24848 / 24848 (100.0%)
572	全局阶段：固定 21529 条边，起点候选 13 / 24663 (0.1%)
574	全局阶段：固定 21201 条边，起点候选 115 / 25196 (0.5%)
576	全局阶段：固定 21700 条边，起点候选 19 / 25111 (0.1%)
578	全局阶段：固定 20894 条边，起点候选 22 / 25120 (0.1%)
580	全局阶段：固定 0 条边，起点候选 25356 / 25356 (100.0%)
582	全局阶段：固定 0 条边，起点候选 25590 / 25590 (100.0%)
584	全局阶段：固定 22185 条边，起点候选 139 / 25715 (0.5%)
586	全局阶段：固定 22061 条边，起点候选 179 / 26035 (0.7%)
588	全局阶段：固定 22757 条边，起点候选 43 / 26109 (0.2%)
590	全局阶段：固定 0 条边，起点候选 26296 / 26296 (100.0%)
592	全局阶段：固定 22669 条边，起点候选 2 / 26611 (0.0%)
594	全局阶段：固定 23010 条边，起点候选 19 / 26770 (0.1%)
596	全局阶段：固定 22418 条边，起点候选 44 / 26738 (0.2%)
598	全局阶段：固定 0 条边，起点候选 27118 / 27118 (100.0%)
600	全局阶段：固定 23039 条边，起点候选 88 / 27246 (0.3%)
602	全局阶段：固定 22787 条边，起点候选 10 / 27253 (0.0%)
604	全局阶段：固定 23633 条边，起点候选 85 / 27592 (0.3%)
606	全局阶段：固定 23553 条边，起点候选 157 / 27736 (0.6%)
608	全局阶段：固定 24769 条边，起点候选 47 / 27768 (0.2%)
610	全局阶段：固定 23698 条边，起点候选 72 / 28073 (0.3%)
612	全局阶段：固定 24555 条边，起点候选 24 / 28475 (0.1%)
614	全局阶段：固定 23492 条边，起点候选 28 / 28656 (0.1%)
616	全局阶段：固定 24356 条边，起点候选 107 / 28951 (0.4%)
618	全局阶段：固定 24478 条边，起点候选 35 / 29046 (0.1%)
620	全局阶段：固定 24690 条边，起点候选 78 / 29345 (0.3%)
622	全局阶段：固定 24920 条边，起点候选 38 / 29257 (0.1%)
624	全局阶段：固定 25446 条边，起点候选 98 / 29357 (0.3%)
626	全局阶段：固定 24833 条边，起点候选 160 / 29741 (0.5%)
628	全局阶段：固定 0 条边，起点候选 30044 / 30044 (100.0%)
630	全局阶段：固定 0 条边，起点候选 29914 / 29914 (100.0%)
